
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       3.63249e-06      
 3.60000e-02       7.00677e-06      
 5.40000e-02       1.01395e-05      
 7.20000e-02       1.30459e-05      
 9.00000e-02       1.57400e-05      
 1.08000e-01       1.82348e-05      
 1.26000e-01       2.05422e-05      
 1.44000e-01       2.26732e-05      
 1.62000e-01       2.46382e-05      
 1.80000e-01       2.64467e-05      
 1.98000e-01       2.81078e-05      
 2.16000e-01       2.96300e-05      
 2.34000e-01       3.10216e-05      
 2.52000e-01       3.22906e-05      
 2.70000e-01       3.34452e-05      
 2.88000e-01       3.44934e-05      
 3.06000e-01       3.54439e-05      
 3.24000e-01       3.63057e-05      
 3.42000e-01       3.70879e-05      
 3.60000e-01       3.77998e-05      
 3.78000e-01       3.84502e-05      
 3.96000e-01       3.90471e-05      
 4.14000e-01       3.95976e-05      
 4.32000e-01       4.01077e-05      
 4.50000e-01       4.05826e-05      
 4.68000e-01       4.10268e-05      
 4.86000e-01       4.14440e-05      
 5.04000e-01       4.18372e-05      
 5.22000e-01       4.22093e-05      
 5.40000e-01       4.25624e-05      
 5.58000e-01       4.28987e-05      
 5.76000e-01       4.32198e-05      
 5.94000e-01       4.35273e-05      
 6.12000e-01       4.38224e-05      
 6.30000e-01       4.41063e-05      
 6.48000e-01       4.43800e-05      
 6.66000e-01       4.46445e-05      
 6.84000e-01       4.49004e-05      
 7.02000e-01       4.51485e-05      
 7.20000e-01       4.53895e-05      
 7.38000e-01       4.56239e-05      
 7.56000e-01       4.58522e-05      
 7.74000e-01       4.60748e-05      
 7.92000e-01       4.62923e-05      
 8.10000e-01       4.65049e-05      
 8.28000e-01       4.67130e-05      
 8.46000e-01       4.69169e-05      
 8.64000e-01       4.71169e-05      
 8.82000e-01       4.73132e-05      
 9.00000e-01       4.75062e-05      
 9.18000e-01       4.76959e-05      
 9.36000e-01       4.78826e-05      
 9.54000e-01       4.80666e-05      
 9.72000e-01       4.82478e-05      
 9.90000e-01       4.84266e-05      
 1.00800e+00       4.86030e-05      
 1.02600e+00       4.87772e-05      
 1.04400e+00       4.89493e-05      
 1.06200e+00       4.91195e-05      
 1.08000e+00       4.92878e-05      
 1.09800e+00       4.94542e-05      
 1.11600e+00       4.96191e-05      
 1.13400e+00       4.97823e-05      
 1.15200e+00       4.99440e-05      
 1.17000e+00       5.01043e-05      
 1.18800e+00       5.02632e-05      
 1.20600e+00       5.04208e-05      
 1.22400e+00       5.05772e-05      
 1.24200e+00       5.07324e-05      
 1.26000e+00       5.08865e-05      
 1.27800e+00       5.10396e-05      
 1.29600e+00       5.11916e-05      
 1.31400e+00       5.13426e-05      
 1.33200e+00       5.14927e-05      
 1.35000e+00       5.16419e-05      
 1.36800e+00       5.17903e-05      
 1.38600e+00       5.19378e-05      
 1.40400e+00       5.20846e-05      
 1.42200e+00       5.22306e-05      
 1.44000e+00       5.23759e-05      
 1.45800e+00       5.25206e-05      
 1.47600e+00       5.26645e-05      
 1.49400e+00       5.28079e-05      
 1.51200e+00       5.29506e-05      
 1.53000e+00       5.30928e-05      
 1.54800e+00       5.32344e-05      
 1.56600e+00       5.33755e-05      
 1.58400e+00       5.35160e-05      
 1.60200e+00       5.36561e-05      
 1.62000e+00       5.37957e-05      
 1.63800e+00       5.39348e-05      
 1.65600e+00       5.40735e-05      
 1.67400e+00       5.42118e-05      
 1.69200e+00       5.43496e-05      
 1.71000e+00       5.44871e-05      
 1.72800e+00       5.46242e-05      
 1.74600e+00       5.47609e-05      
 1.76400e+00       5.48973e-05      
 1.78200e+00       5.50334e-05      
 1.80000e+00       5.51691e-05      
