
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.42244e-12      
 1.80000e-02       2.74755e-12      
 3.60000e-02       5.30355e-12      
 5.40000e-02       1.02274e-11      
 7.20000e-02       1.96959e-11      
 9.00000e-02       3.78587e-11      
 1.08000e-01       7.25823e-11      
 1.26000e-01       1.38664e-10      
 1.44000e-01       2.63650e-10      
 1.62000e-01       4.98118e-10      
 1.80000e-01       9.33268e-10      
 1.98000e-01       1.72983e-09      
 2.16000e-01       3.16323e-09      
 2.34000e-01       5.69016e-09      
 2.52000e-01       1.00415e-08      
 2.70000e-01       1.73468e-08      
 2.88000e-01       2.93013e-08      
 3.06000e-01       4.83958e-08      
 3.24000e-01       7.82374e-08      
 3.42000e-01       1.23972e-07      
 3.60000e-01       1.92759e-07      
 3.78000e-01       2.94139e-07      
 3.96000e-01       4.40079e-07      
 4.14000e-01       6.44456e-07      
 4.32000e-01       9.21950e-07      
 4.50000e-01       1.28658e-06      
 4.68000e-01       1.75032e-06      
 4.86000e-01       2.32222e-06      
 5.04000e-01       3.00817e-06      
 5.22000e-01       3.81120e-06      
 5.40000e-01       4.73215e-06      
 5.58000e-01       5.77034e-06      
 5.76000e-01       6.92417e-06      
 5.94000e-01       8.19158e-06      
 6.12000e-01       9.57034e-06      
 6.30000e-01       1.10582e-05      
 6.48000e-01       1.26530e-05      
 6.66000e-01       1.43528e-05      
 6.84000e-01       1.61555e-05      
 7.02000e-01       1.80593e-05      
 7.20000e-01       2.00625e-05      
 7.38000e-01       2.21633e-05      
 7.56000e-01       2.43599e-05      
 7.74000e-01       2.66507e-05      
 7.92000e-01       2.90338e-05      
 8.10000e-01       3.15074e-05      
 8.28000e-01       3.40697e-05      
 8.46000e-01       3.67187e-05      
 8.64000e-01       3.94523e-05      
 8.82000e-01       4.22685e-05      
 9.00000e-01       4.51649e-05      
 9.18000e-01       4.81392e-05      
 9.36000e-01       5.11887e-05      
 9.54000e-01       5.43109e-05      
 9.72000e-01       5.75028e-05      
 9.90000e-01       6.07613e-05      
 1.00800e+00       6.40830e-05      
 1.02600e+00       6.74643e-05      
 1.04400e+00       7.09012e-05      
 1.06200e+00       7.43897e-05      
 1.08000e+00       7.79252e-05      
 1.09800e+00       8.15028e-05      
 1.11600e+00       8.51175e-05      
 1.13400e+00       8.87640e-05      
 1.15200e+00       9.24369e-05      
 1.17000e+00       9.61307e-05      
 1.18800e+00       9.98399e-05      
 1.20600e+00       1.03559e-04      
 1.22400e+00       1.07284e-04      
 1.24200e+00       1.11010e-04      
 1.26000e+00       1.14732e-04      
 1.27800e+00       1.18448e-04      
 1.29600e+00       1.22153e-04      
 1.31400e+00       1.25845e-04      
 1.33200e+00       1.29522e-04      
 1.35000e+00       1.33181e-04      
 1.36800e+00       1.36821e-04      
 1.38600e+00       1.40440e-04      
 1.40400e+00       1.44036e-04      
 1.42200e+00       1.47609e-04      
 1.44000e+00       1.51157e-04      
 1.45800e+00       1.54680e-04      
 1.47600e+00       1.58175e-04      
 1.49400e+00       1.61644e-04      
 1.51200e+00       1.65085e-04      
 1.53000e+00       1.68497e-04      
 1.54800e+00       1.71880e-04      
 1.56600e+00       1.75233e-04      
 1.58400e+00       1.78555e-04      
 1.60200e+00       1.81847e-04      
 1.62000e+00       1.85108e-04      
 1.63800e+00       1.88338e-04      
 1.65600e+00       1.91535e-04      
 1.67400e+00       1.94700e-04      
 1.69200e+00       1.97833e-04      
 1.71000e+00       2.00933e-04      
 1.72800e+00       2.03999e-04      
 1.74600e+00       2.07033e-04      
 1.76400e+00       2.10033e-04      
 1.78200e+00       2.12998e-04      
 1.80000e+00       2.15930e-04      
