
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       6.17258e-07      
 3.60000e-02       1.20264e-06      
 5.40000e-02       1.75621e-06      
 7.20000e-02       2.27802e-06      
 9.00000e-02       2.76814e-06      
 1.08000e-01       3.22665e-06      
 1.26000e-01       3.65362e-06      
 1.44000e-01       4.04917e-06      
 1.62000e-01       4.41343e-06      
 1.80000e-01       4.74654e-06      
 1.98000e-01       5.04873e-06      
 2.16000e-01       5.32026e-06      
 2.34000e-01       5.56154e-06      
 2.52000e-01       5.77308e-06      
 2.70000e-01       5.95566e-06      
 2.88000e-01       6.11035e-06      
 3.06000e-01       6.23865e-06      
 3.24000e-01       6.34262e-06      
 3.42000e-01       6.42490e-06      
 3.60000e-01       6.48861e-06      
 3.78000e-01       6.53719e-06      
 3.96000e-01       6.57397e-06      
 4.14000e-01       6.60194e-06      
 4.32000e-01       6.62350e-06      
 4.50000e-01       6.64046e-06      
 4.68000e-01       6.65415e-06      
 4.86000e-01       6.66549e-06      
 5.04000e-01       6.67512e-06      
 5.22000e-01       6.68348e-06      
 5.40000e-01       6.69090e-06      
 5.58000e-01       6.69758e-06      
 5.76000e-01       6.70368e-06      
 5.94000e-01       6.70933e-06      
 6.12000e-01       6.71459e-06      
 6.30000e-01       6.71955e-06      
 6.48000e-01       6.72423e-06      
 6.66000e-01       6.72870e-06      
 6.84000e-01       6.73296e-06      
 7.02000e-01       6.73705e-06      
 7.20000e-01       6.74099e-06      
 7.38000e-01       6.74479e-06      
 7.56000e-01       6.74846e-06      
 7.74000e-01       6.75202e-06      
 7.92000e-01       6.75548e-06      
 8.10000e-01       6.75883e-06      
 8.28000e-01       6.76210e-06      
 8.46000e-01       6.76529e-06      
 8.64000e-01       6.76839e-06      
 8.82000e-01       6.77143e-06      
 9.00000e-01       6.77439e-06      
 9.18000e-01       6.77729e-06      
 9.36000e-01       6.78012e-06      
 9.54000e-01       6.78290e-06      
 9.72000e-01       6.78563e-06      
 9.90000e-01       6.78829e-06      
 1.00800e+00       6.79091e-06      
 1.02600e+00       6.79348e-06      
 1.04400e+00       6.79601e-06      
 1.06200e+00       6.79849e-06      
 1.08000e+00       6.80093e-06      
 1.09800e+00       6.80332e-06      
 1.11600e+00       6.80568e-06      
 1.13400e+00       6.80800e-06      
 1.15200e+00       6.81028e-06      
 1.17000e+00       6.81253e-06      
 1.18800e+00       6.81475e-06      
 1.20600e+00       6.81693e-06      
 1.22400e+00       6.81908e-06      
 1.24200e+00       6.82120e-06      
 1.26000e+00       6.82329e-06      
 1.27800e+00       6.82535e-06      
 1.29600e+00       6.82739e-06      
 1.31400e+00       6.82940e-06      
 1.33200e+00       6.83138e-06      
 1.35000e+00       6.83334e-06      
 1.36800e+00       6.83528e-06      
 1.38600e+00       6.83719e-06      
 1.40400e+00       6.83907e-06      
 1.42200e+00       6.84094e-06      
 1.44000e+00       6.84279e-06      
 1.45800e+00       6.84461e-06      
 1.47600e+00       6.84642e-06      
 1.49400e+00       6.84820e-06      
 1.51200e+00       6.84997e-06      
 1.53000e+00       6.85171e-06      
 1.54800e+00       6.85344e-06      
 1.56600e+00       6.85515e-06      
 1.58400e+00       6.85685e-06      
 1.60200e+00       6.85853e-06      
 1.62000e+00       6.86019e-06      
 1.63800e+00       6.86184e-06      
 1.65600e+00       6.86347e-06      
 1.67400e+00       6.86508e-06      
 1.69200e+00       6.86668e-06      
 1.71000e+00       6.86827e-06      
 1.72800e+00       6.86985e-06      
 1.74600e+00       6.87141e-06      
 1.76400e+00       6.87295e-06      
 1.78200e+00       6.87449e-06      
 1.80000e+00       6.87601e-06      
