
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.83803e-13      
 1.80000e-02       3.08451e-13      
 3.60000e-02       5.17531e-13      
 5.40000e-02       8.68111e-13      
 7.20000e-02       1.45570e-12      
 9.00000e-02       2.43998e-12      
 1.08000e-01       4.08754e-12      
 1.26000e-01       6.84280e-12      
 1.44000e-01       1.14450e-11      
 1.62000e-01       1.91203e-11      
 1.80000e-01       3.18960e-11      
 1.98000e-01       5.31086e-11      
 2.16000e-01       8.82201e-11      
 2.34000e-01       1.46111e-10      
 2.52000e-01       2.41102e-10      
 2.70000e-01       3.96052e-10      
 2.88000e-01       6.47034e-10      
 3.06000e-01       1.05021e-09      
 3.24000e-01       1.69178e-09      
 3.42000e-01       2.70208e-09      
 3.60000e-01       4.27545e-09      
 3.78000e-01       6.69793e-09      
 3.96000e-01       1.03859e-08      
 4.14000e-01       1.59386e-08      
 4.32000e-01       2.42051e-08      
 4.50000e-01       3.63608e-08      
 4.68000e-01       5.39765e-08      
 4.86000e-01       7.90546e-08      
 5.04000e-01       1.14000e-07      
 5.22000e-01       1.61506e-07      
 5.40000e-01       2.24369e-07      
 5.58000e-01       3.05250e-07      
 5.76000e-01       4.06459e-07      
 5.94000e-01       5.29789e-07      
 6.12000e-01       6.76442e-07      
 6.30000e-01       8.47034e-07      
 6.48000e-01       1.04166e-06      
 6.66000e-01       1.26002e-06      
 6.84000e-01       1.50145e-06      
 7.02000e-01       1.76509e-06      
 7.20000e-01       2.04985e-06      
 7.38000e-01       2.35447e-06      
 7.56000e-01       2.67748e-06      
 7.74000e-01       3.01718e-06      
 7.92000e-01       3.37157e-06      
 8.10000e-01       3.73844e-06      
 8.28000e-01       4.11543e-06      
 8.46000e-01       4.50014e-06      
 8.64000e-01       4.89037e-06      
 8.82000e-01       5.28422e-06      
 9.00000e-01       5.68011e-06      
 9.18000e-01       6.07684e-06      
 9.36000e-01       6.47347e-06      
 9.54000e-01       6.86933e-06      
 9.72000e-01       7.26390e-06      
 9.90000e-01       7.65683e-06      
 1.00800e+00       8.04784e-06      
 1.02600e+00       8.43673e-06      
 1.04400e+00       8.82335e-06      
 1.06200e+00       9.20761e-06      
 1.08000e+00       9.58942e-06      
 1.09800e+00       9.96874e-06      
 1.11600e+00       1.03455e-05      
 1.13400e+00       1.07197e-05      
 1.15200e+00       1.10914e-05      
 1.17000e+00       1.14605e-05      
 1.18800e+00       1.18269e-05      
 1.20600e+00       1.21909e-05      
 1.22400e+00       1.25522e-05      
 1.24200e+00       1.29111e-05      
 1.26000e+00       1.32674e-05      
 1.27800e+00       1.36212e-05      
 1.29600e+00       1.39725e-05      
 1.31400e+00       1.43213e-05      
 1.33200e+00       1.46677e-05      
 1.35000e+00       1.50117e-05      
 1.36800e+00       1.53533e-05      
 1.38600e+00       1.56925e-05      
 1.40400e+00       1.60294e-05      
 1.42200e+00       1.63640e-05      
 1.44000e+00       1.66963e-05      
 1.45800e+00       1.70263e-05      
 1.47600e+00       1.73541e-05      
 1.49400e+00       1.76798e-05      
 1.51200e+00       1.80032e-05      
 1.53000e+00       1.83245e-05      
 1.54800e+00       1.86437e-05      
 1.56600e+00       1.89608e-05      
 1.58400e+00       1.92758e-05      
 1.60200e+00       1.95888e-05      
 1.62000e+00       1.98997e-05      
 1.63800e+00       2.02087e-05      
 1.65600e+00       2.05157e-05      
 1.67400e+00       2.08208e-05      
 1.69200e+00       2.11240e-05      
 1.71000e+00       2.14253e-05      
 1.72800e+00       2.17247e-05      
 1.74600e+00       2.20223e-05      
 1.76400e+00       2.23181e-05      
 1.78200e+00       2.26121e-05      
 1.80000e+00       2.29043e-05      
