
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       2.19484e-05      
 3.60000e-02       4.24430e-05      
 5.40000e-02       6.15383e-05      
 7.20000e-02       7.92862e-05      
 9.00000e-02       9.57366e-05      
 1.08000e-01       1.10937e-04      
 1.26000e-01       1.24933e-04      
 1.44000e-01       1.37770e-04      
 1.62000e-01       1.49489e-04      
 1.80000e-01       1.60134e-04      
 1.98000e-01       1.69746e-04      
 2.16000e-01       1.78369e-04      
 2.34000e-01       1.86047e-04      
 2.52000e-01       1.92829e-04      
 2.70000e-01       1.98770e-04      
 2.88000e-01       2.03932e-04      
 3.06000e-01       2.08388e-04      
 3.24000e-01       2.12220e-04      
 3.42000e-01       2.15516e-04      
 3.60000e-01       2.18363e-04      
 3.78000e-01       2.20840e-04      
 3.96000e-01       2.23017e-04      
 4.14000e-01       2.24949e-04      
 4.32000e-01       2.26681e-04      
 4.50000e-01       2.28249e-04      
 4.68000e-01       2.29679e-04      
 4.86000e-01       2.30994e-04      
 5.04000e-01       2.32212e-04      
 5.22000e-01       2.33345e-04      
 5.40000e-01       2.34406e-04      
 5.58000e-01       2.35403e-04      
 5.76000e-01       2.36345e-04      
 5.94000e-01       2.37239e-04      
 6.12000e-01       2.38089e-04      
 6.30000e-01       2.38901e-04      
 6.48000e-01       2.39679e-04      
 6.66000e-01       2.40425e-04      
 6.84000e-01       2.41144e-04      
 7.02000e-01       2.41838e-04      
 7.20000e-01       2.42509e-04      
 7.38000e-01       2.43158e-04      
 7.56000e-01       2.43789e-04      
 7.74000e-01       2.44403e-04      
 7.92000e-01       2.45000e-04      
 8.10000e-01       2.45583e-04      
 8.28000e-01       2.46153e-04      
 8.46000e-01       2.46709e-04      
 8.64000e-01       2.47255e-04      
 8.82000e-01       2.47789e-04      
 9.00000e-01       2.48313e-04      
 9.18000e-01       2.48829e-04      
 9.36000e-01       2.49335e-04      
 9.54000e-01       2.49834e-04      
 9.72000e-01       2.50325e-04      
 9.90000e-01       2.50808e-04      
 1.00800e+00       2.51286e-04      
 1.02600e+00       2.51756e-04      
 1.04400e+00       2.52222e-04      
 1.06200e+00       2.52681e-04      
 1.08000e+00       2.53136e-04      
 1.09800e+00       2.53585e-04      
 1.11600e+00       2.54030e-04      
 1.13400e+00       2.54471e-04      
 1.15200e+00       2.54907e-04      
 1.17000e+00       2.55340e-04      
 1.18800e+00       2.55769e-04      
 1.20600e+00       2.56194e-04      
 1.22400e+00       2.56616e-04      
 1.24200e+00       2.57035e-04      
 1.26000e+00       2.57451e-04      
 1.27800e+00       2.57864e-04      
 1.29600e+00       2.58274e-04      
 1.31400e+00       2.58682e-04      
 1.33200e+00       2.59087e-04      
 1.35000e+00       2.59490e-04      
 1.36800e+00       2.59891e-04      
 1.38600e+00       2.60289e-04      
 1.40400e+00       2.60686e-04      
 1.42200e+00       2.61081e-04      
 1.44000e+00       2.61473e-04      
 1.45800e+00       2.61864e-04      
 1.47600e+00       2.62254e-04      
 1.49400e+00       2.62641e-04      
 1.51200e+00       2.63027e-04      
 1.53000e+00       2.63412e-04      
 1.54800e+00       2.63795e-04      
 1.56600e+00       2.64177e-04      
 1.58400e+00       2.64557e-04      
 1.60200e+00       2.64936e-04      
 1.62000e+00       2.65314e-04      
 1.63800e+00       2.65691e-04      
 1.65600e+00       2.66067e-04      
 1.67400e+00       2.66441e-04      
 1.69200e+00       2.66815e-04      
 1.71000e+00       2.67188e-04      
 1.72800e+00       2.67559e-04      
 1.74600e+00       2.67930e-04      
 1.76400e+00       2.68300e-04      
 1.78200e+00       2.68669e-04      
 1.80000e+00       2.69037e-04      
