
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       4.82991e-12      
 1.80000e-02       8.48223e-12      
 3.60000e-02       1.48929e-11      
 5.40000e-02       2.61400e-11      
 7.20000e-02       4.58607e-11      
 9.00000e-02       8.04126e-11      
 1.08000e-01       1.40888e-10      
 1.26000e-01       2.46593e-10      
 1.44000e-01       4.31033e-10      
 1.62000e-01       7.52111e-10      
 1.80000e-01       1.30938e-09      
 1.98000e-01       2.27285e-09      
 2.16000e-01       3.93030e-09      
 2.34000e-01       6.76363e-09      
 2.52000e-01       1.15686e-08      
 2.70000e-01       1.96378e-08      
 2.88000e-01       3.30281e-08      
 3.06000e-01       5.49398e-08      
 3.24000e-01       9.02269e-08      
 3.42000e-01       1.46065e-07      
 3.60000e-01       2.32809e-07      
 3.78000e-01       3.65098e-07      
 3.96000e-01       5.63299e-07      
 4.14000e-01       8.55381e-07      
 4.32000e-01       1.27918e-06      
 4.50000e-01       1.88473e-06      
 4.68000e-01       2.73600e-06      
 4.86000e-01       3.91076e-06      
 5.04000e-01       5.49768e-06      
 5.22000e-01       7.58981e-06      
 5.40000e-01       1.02754e-05      
 5.58000e-01       1.36276e-05      
 5.76000e-01       1.76965e-05      
 5.94000e-01       2.25045e-05      
 6.12000e-01       2.80465e-05      
 6.30000e-01       3.42943e-05      
 6.48000e-01       4.12026e-05      
 6.66000e-01       4.87152e-05      
 6.84000e-01       5.67714e-05      
 7.02000e-01       6.53098e-05      
 7.20000e-01       7.42717e-05      
 7.38000e-01       8.36020e-05      
 7.56000e-01       9.32510e-05      
 7.74000e-01       1.03174e-04      
 7.92000e-01       1.13330e-04      
 8.10000e-01       1.23684e-04      
 8.28000e-01       1.34204e-04      
 8.46000e-01       1.44863e-04      
 8.64000e-01       1.55635e-04      
 8.82000e-01       1.66499e-04      
 9.00000e-01       1.77435e-04      
 9.18000e-01       1.88427e-04      
 9.36000e-01       1.99460e-04      
 9.54000e-01       2.10520e-04      
 9.72000e-01       2.21595e-04      
 9.90000e-01       2.32676e-04      
 1.00800e+00       2.43754e-04      
 1.02600e+00       2.54821e-04      
 1.04400e+00       2.65869e-04      
 1.06200e+00       2.76893e-04      
 1.08000e+00       2.87887e-04      
 1.09800e+00       2.98847e-04      
 1.11600e+00       3.09768e-04      
 1.13400e+00       3.20646e-04      
 1.15200e+00       3.31477e-04      
 1.17000e+00       3.42259e-04      
 1.18800e+00       3.52988e-04      
 1.20600e+00       3.63662e-04      
 1.22400e+00       3.74279e-04      
 1.24200e+00       3.84835e-04      
 1.26000e+00       3.95329e-04      
 1.27800e+00       4.05760e-04      
 1.29600e+00       4.16124e-04      
 1.31400e+00       4.26421e-04      
 1.33200e+00       4.36648e-04      
 1.35000e+00       4.46804e-04      
 1.36800e+00       4.56889e-04      
 1.38600e+00       4.66899e-04      
 1.40400e+00       4.76835e-04      
 1.42200e+00       4.86694e-04      
 1.44000e+00       4.96477e-04      
 1.45800e+00       5.06181e-04      
 1.47600e+00       5.15805e-04      
 1.49400e+00       5.25350e-04      
 1.51200e+00       5.34813e-04      
 1.53000e+00       5.44194e-04      
 1.54800e+00       5.53492e-04      
 1.56600e+00       5.62707e-04      
 1.58400e+00       5.71837e-04      
 1.60200e+00       5.80882e-04      
 1.62000e+00       5.89842e-04      
 1.63800e+00       5.98715e-04      
 1.65600e+00       6.07502e-04      
 1.67400e+00       6.16202e-04      
 1.69200e+00       6.24814e-04      
 1.71000e+00       6.33337e-04      
 1.72800e+00       6.41773e-04      
 1.74600e+00       6.50119e-04      
 1.76400e+00       6.58376e-04      
 1.78200e+00       6.66544e-04      
 1.80000e+00       6.74622e-04      
