
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       4.07483e-08      
 3.60000e-02       6.86497e-08      
 5.40000e-02       8.55293e-08      
 7.20000e-02       9.44455e-08      
 9.00000e-02       9.87944e-08      
 1.08000e-01       1.00964e-07      
 1.26000e-01       1.02155e-07      
 1.44000e-01       1.02889e-07      
 1.62000e-01       1.03394e-07      
 1.80000e-01       1.03772e-07      
 1.98000e-01       1.04077e-07      
 2.16000e-01       1.04335e-07      
 2.34000e-01       1.04561e-07      
 2.52000e-01       1.04767e-07      
 2.70000e-01       1.04956e-07      
 2.88000e-01       1.05133e-07      
 3.06000e-01       1.05302e-07      
 3.24000e-01       1.05462e-07      
 3.42000e-01       1.05617e-07      
 3.60000e-01       1.05766e-07      
 3.78000e-01       1.05911e-07      
 3.96000e-01       1.06052e-07      
 4.14000e-01       1.06190e-07      
 4.32000e-01       1.06325e-07      
 4.50000e-01       1.06457e-07      
 4.68000e-01       1.06587e-07      
 4.86000e-01       1.06715e-07      
 5.04000e-01       1.06841e-07      
 5.22000e-01       1.06965e-07      
 5.40000e-01       1.07087e-07      
 5.58000e-01       1.07208e-07      
 5.76000e-01       1.07327e-07      
 5.94000e-01       1.07445e-07      
 6.12000e-01       1.07562e-07      
 6.30000e-01       1.07678e-07      
 6.48000e-01       1.07793e-07      
 6.66000e-01       1.07906e-07      
 6.84000e-01       1.08019e-07      
 7.02000e-01       1.08130e-07      
 7.20000e-01       1.08241e-07      
 7.38000e-01       1.08351e-07      
 7.56000e-01       1.08460e-07      
 7.74000e-01       1.08569e-07      
 7.92000e-01       1.08676e-07      
 8.10000e-01       1.08783e-07      
 8.28000e-01       1.08890e-07      
 8.46000e-01       1.08996e-07      
 8.64000e-01       1.09101e-07      
 8.82000e-01       1.09205e-07      
 9.00000e-01       1.09309e-07      
 9.18000e-01       1.09413e-07      
 9.36000e-01       1.09516e-07      
 9.54000e-01       1.09619e-07      
 9.72000e-01       1.09721e-07      
 9.90000e-01       1.09823e-07      
 1.00800e+00       1.09924e-07      
 1.02600e+00       1.10025e-07      
 1.04400e+00       1.10125e-07      
 1.06200e+00       1.10225e-07      
 1.08000e+00       1.10325e-07      
 1.09800e+00       1.10424e-07      
 1.11600e+00       1.10524e-07      
 1.13400e+00       1.10622e-07      
 1.15200e+00       1.10721e-07      
 1.17000e+00       1.10819e-07      
 1.18800e+00       1.10917e-07      
 1.20600e+00       1.11014e-07      
 1.22400e+00       1.11111e-07      
 1.24200e+00       1.11208e-07      
 1.26000e+00       1.11305e-07      
 1.27800e+00       1.11402e-07      
 1.29600e+00       1.11498e-07      
 1.31400e+00       1.11594e-07      
 1.33200e+00       1.11690e-07      
 1.35000e+00       1.11786e-07      
 1.36800e+00       1.11881e-07      
 1.38600e+00       1.11976e-07      
 1.40400e+00       1.12071e-07      
 1.42200e+00       1.12166e-07      
 1.44000e+00       1.12260e-07      
 1.45800e+00       1.12355e-07      
 1.47600e+00       1.12449e-07      
 1.49400e+00       1.12543e-07      
 1.51200e+00       1.12637e-07      
 1.53000e+00       1.12731e-07      
 1.54800e+00       1.12825e-07      
 1.56600e+00       1.12918e-07      
 1.58400e+00       1.13011e-07      
 1.60200e+00       1.13105e-07      
 1.62000e+00       1.13198e-07      
 1.63800e+00       1.13291e-07      
 1.65600e+00       1.13384e-07      
 1.67400e+00       1.13476e-07      
 1.69200e+00       1.13569e-07      
 1.71000e+00       1.13661e-07      
 1.72800e+00       1.13754e-07      
 1.74600e+00       1.13846e-07      
 1.76400e+00       1.13938e-07      
 1.78200e+00       1.14030e-07      
 1.80000e+00       1.14122e-07      
