
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.64493e-12      
 1.80000e-02       2.76068e-12      
 3.60000e-02       4.63225e-12      
 5.40000e-02       7.77053e-12      
 7.20000e-02       1.30303e-11      
 9.00000e-02       2.18405e-11      
 1.08000e-01       3.65862e-11      
 1.26000e-01       6.12411e-11      
 1.44000e-01       1.02412e-10      
 1.62000e-01       1.71048e-10      
 1.80000e-01       2.85236e-10      
 1.98000e-01       4.74705e-10      
 2.16000e-01       7.88043e-10      
 2.34000e-01       1.30410e-09      
 2.52000e-01       2.14972e-09      
 2.70000e-01       3.52688e-09      
 2.88000e-01       5.75335e-09      
 3.06000e-01       9.32253e-09      
 3.24000e-01       1.49898e-08      
 3.42000e-01       2.38955e-08      
 3.60000e-01       3.77395e-08      
 3.78000e-01       5.90259e-08      
 3.96000e-01       9.14045e-08      
 4.14000e-01       1.40124e-07      
 4.32000e-01       2.12585e-07      
 4.50000e-01       3.18907e-07      
 4.68000e-01       4.72332e-07      
 4.86000e-01       6.89229e-07      
 5.04000e-01       9.88496e-07      
 5.22000e-01       1.39032e-06      
 5.40000e-01       1.91452e-06      
 5.58000e-01       2.57878e-06      
 5.76000e-01       3.39731e-06      
 5.94000e-01       4.38011e-06      
 6.12000e-01       5.53289e-06      
 6.30000e-01       6.85755e-06      
 6.48000e-01       8.35300e-06      
 6.66000e-01       1.00160e-05      
 6.84000e-01       1.18422e-05      
 7.02000e-01       1.38263e-05      
 7.20000e-01       1.59630e-05      
 7.38000e-01       1.82472e-05      
 7.56000e-01       2.06740e-05      
 7.74000e-01       2.32389e-05      
 7.92000e-01       2.59378e-05      
 8.10000e-01       2.87669e-05      
 8.28000e-01       3.17229e-05      
 8.46000e-01       3.48025e-05      
 8.64000e-01       3.80030e-05      
 8.82000e-01       4.13213e-05      
 9.00000e-01       4.47549e-05      
 9.18000e-01       4.83010e-05      
 9.36000e-01       5.19571e-05      
 9.54000e-01       5.57204e-05      
 9.72000e-01       5.95881e-05      
 9.90000e-01       6.35574e-05      
 1.00800e+00       6.76250e-05      
 1.02600e+00       7.17874e-05      
 1.04400e+00       7.60409e-05      
 1.06200e+00       8.03811e-05      
 1.08000e+00       8.48030e-05      
 1.09800e+00       8.93009e-05      
 1.11600e+00       9.38685e-05      
 1.13400e+00       9.84982e-05      
 1.15200e+00       1.03182e-04      
 1.17000e+00       1.07910e-04      
 1.18800e+00       1.12675e-04      
 1.20600e+00       1.17464e-04      
 1.22400e+00       1.22270e-04      
 1.24200e+00       1.27084e-04      
 1.26000e+00       1.31896e-04      
 1.27800e+00       1.36701e-04      
 1.29600e+00       1.41491e-04      
 1.31400e+00       1.46263e-04      
 1.33200e+00       1.51012e-04      
 1.35000e+00       1.55736e-04      
 1.36800e+00       1.60430e-04      
 1.38600e+00       1.65095e-04      
 1.40400e+00       1.69727e-04      
 1.42200e+00       1.74327e-04      
 1.44000e+00       1.78893e-04      
 1.45800e+00       1.83424e-04      
 1.47600e+00       1.87921e-04      
 1.49400e+00       1.92383e-04      
 1.51200e+00       1.96810e-04      
 1.53000e+00       2.01202e-04      
 1.54800e+00       2.05559e-04      
 1.56600e+00       2.09880e-04      
 1.58400e+00       2.14167e-04      
 1.60200e+00       2.18420e-04      
 1.62000e+00       2.22637e-04      
 1.63800e+00       2.26821e-04      
 1.65600e+00       2.30971e-04      
 1.67400e+00       2.35086e-04      
 1.69200e+00       2.39169e-04      
 1.71000e+00       2.43218e-04      
 1.72800e+00       2.47234e-04      
 1.74600e+00       2.51218e-04      
 1.76400e+00       2.55169e-04      
 1.78200e+00       2.59088e-04      
 1.80000e+00       2.62976e-04      
