
vdd_value         i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       3.17504e-06      
 3.60000e-02       6.14639e-06      
 5.40000e-02       8.92107e-06      
 7.20000e-02       1.15058e-05      
 9.00000e-02       1.39070e-05      
 1.08000e-01       1.61309e-05      
 1.26000e-01       1.81834e-05      
 1.44000e-01       2.00705e-05      
 1.62000e-01       2.17977e-05      
 1.80000e-01       2.33706e-05      
 1.98000e-01       2.47950e-05      
 2.16000e-01       2.60764e-05      
 2.34000e-01       2.72210e-05      
 2.52000e-01       2.82353e-05      
 2.70000e-01       2.91267e-05      
 2.88000e-01       2.99037e-05      
 3.06000e-01       3.05763e-05      
 3.24000e-01       3.11560e-05      
 3.42000e-01       3.16553e-05      
 3.60000e-01       3.20870e-05      
 3.78000e-01       3.24629e-05      
 3.96000e-01       3.27936e-05      
 4.14000e-01       3.30876e-05      
 4.32000e-01       3.33517e-05      
 4.50000e-01       3.35914e-05      
 4.68000e-01       3.38107e-05      
 4.86000e-01       3.40130e-05      
 5.04000e-01       3.42007e-05      
 5.22000e-01       3.43759e-05      
 5.40000e-01       3.45403e-05      
 5.58000e-01       3.46954e-05      
 5.76000e-01       3.48422e-05      
 5.94000e-01       3.49817e-05      
 6.12000e-01       3.51147e-05      
 6.30000e-01       3.52419e-05      
 6.48000e-01       3.53639e-05      
 6.66000e-01       3.54812e-05      
 6.84000e-01       3.55944e-05      
 7.02000e-01       3.57036e-05      
 7.20000e-01       3.58094e-05      
 7.38000e-01       3.59120e-05      
 7.56000e-01       3.60117e-05      
 7.74000e-01       3.61087e-05      
 7.92000e-01       3.62032e-05      
 8.10000e-01       3.62955e-05      
 8.28000e-01       3.63856e-05      
 8.46000e-01       3.64739e-05      
 8.64000e-01       3.65603e-05      
 8.82000e-01       3.66451e-05      
 9.00000e-01       3.67283e-05      
 9.18000e-01       3.68100e-05      
 9.36000e-01       3.68904e-05      
 9.54000e-01       3.69695e-05      
 9.72000e-01       3.70475e-05      
 9.90000e-01       3.71243e-05      
 1.00800e+00       3.72001e-05      
 1.02600e+00       3.72749e-05      
 1.04400e+00       3.73488e-05      
 1.06200e+00       3.74218e-05      
 1.08000e+00       3.74940e-05      
 1.09800e+00       3.75654e-05      
 1.11600e+00       3.76361e-05      
 1.13400e+00       3.77061e-05      
 1.15200e+00       3.77755e-05      
 1.17000e+00       3.78442e-05      
 1.18800e+00       3.79124e-05      
 1.20600e+00       3.79799e-05      
 1.22400e+00       3.80470e-05      
 1.24200e+00       3.81135e-05      
 1.26000e+00       3.81796e-05      
 1.27800e+00       3.82452e-05      
 1.29600e+00       3.83104e-05      
 1.31400e+00       3.83752e-05      
 1.33200e+00       3.84396e-05      
 1.35000e+00       3.85036e-05      
 1.36800e+00       3.85673e-05      
 1.38600e+00       3.86306e-05      
 1.40400e+00       3.86935e-05      
 1.42200e+00       3.87562e-05      
 1.44000e+00       3.88186e-05      
 1.45800e+00       3.88807e-05      
 1.47600e+00       3.89425e-05      
 1.49400e+00       3.90040e-05      
 1.51200e+00       3.90653e-05      
 1.53000e+00       3.91264e-05      
 1.54800e+00       3.91872e-05      
 1.56600e+00       3.92478e-05      
 1.58400e+00       3.93082e-05      
 1.60200e+00       3.93684e-05      
 1.62000e+00       3.94284e-05      
 1.63800e+00       3.94882e-05      
 1.65600e+00       3.95478e-05      
 1.67400e+00       3.96073e-05      
 1.69200e+00       3.96666e-05      
 1.71000e+00       3.97257e-05      
 1.72800e+00       3.97847e-05      
 1.74600e+00       3.98435e-05      
 1.76400e+00       3.99022e-05      
 1.78200e+00       3.99608e-05      
 1.80000e+00       4.00192e-05      
