
vgs_val           i("/M0/D" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer/spectre/schematic" ?result "dc") (A)

 0.00000e+00       1.26447e-12      
 1.80000e-02       2.44242e-12      
 3.60000e-02       4.71477e-12      
 5.40000e-02       9.09287e-12      
 7.20000e-02       1.75136e-11      
 9.00000e-02       3.36718e-11      
 1.08000e-01       6.45774e-11      
 1.26000e-01       1.23431e-10      
 1.44000e-01       2.34846e-10      
 1.62000e-01       4.44106e-10      
 1.80000e-01       8.33093e-10      
 1.98000e-01       1.54661e-09      
 2.16000e-01       2.83383e-09      
 2.34000e-01       5.10995e-09      
 2.52000e-01       9.04295e-09      
 2.70000e-01       1.56706e-08      
 2.88000e-01       2.65574e-08      
 3.06000e-01       4.40109e-08      
 3.24000e-01       7.13845e-08      
 3.42000e-01       1.13483e-07      
 3.60000e-01       1.77029e-07      
 3.78000e-01       2.71059e-07      
 3.96000e-01       4.07020e-07      
 4.14000e-01       5.98337e-07      
 4.32000e-01       8.59386e-07      
 4.50000e-01       1.20405e-06      
 4.68000e-01       1.64431e-06      
 4.86000e-01       2.18924e-06      
 5.04000e-01       2.84470e-06      
 5.22000e-01       3.61356e-06      
 5.40000e-01       4.49629e-06      
 5.58000e-01       5.49160e-06      
 5.76000e-01       6.59704e-06      
 5.94000e-01       7.80938e-06      
 6.12000e-01       9.12490e-06      
 6.30000e-01       1.05394e-05      
 6.48000e-01       1.20483e-05      
 6.66000e-01       1.36465e-05      
 6.84000e-01       1.53280e-05      
 7.02000e-01       1.70863e-05      
 7.20000e-01       1.89139e-05      
 7.38000e-01       2.08027e-05      
 7.56000e-01       2.27440e-05      
 7.74000e-01       2.47292e-05      
 7.92000e-01       2.67501e-05      
 8.10000e-01       2.87991e-05      
 8.28000e-01       3.08698e-05      
 8.46000e-01       3.29565e-05      
 8.64000e-01       3.50549e-05      
 8.82000e-01       3.71611e-05      
 9.00000e-01       3.92722e-05      
 9.18000e-01       4.13858e-05      
 9.36000e-01       4.34998e-05      
 9.54000e-01       4.56125e-05      
 9.72000e-01       4.77225e-05      
 9.90000e-01       4.98285e-05      
 1.00800e+00       5.19295e-05      
 1.02600e+00       5.40244e-05      
 1.04400e+00       5.61124e-05      
 1.06200e+00       5.81927e-05      
 1.08000e+00       6.02645e-05      
 1.09800e+00       6.23272e-05      
 1.11600e+00       6.43802e-05      
 1.13400e+00       6.64227e-05      
 1.15200e+00       6.84544e-05      
 1.17000e+00       7.04747e-05      
 1.18800e+00       7.24830e-05      
 1.20600e+00       7.44790e-05      
 1.22400e+00       7.64620e-05      
 1.24200e+00       7.84318e-05      
 1.26000e+00       8.03879e-05      
 1.27800e+00       8.23300e-05      
 1.29600e+00       8.42576e-05      
 1.31400e+00       8.61704e-05      
 1.33200e+00       8.80680e-05      
 1.35000e+00       8.99502e-05      
 1.36800e+00       9.18166e-05      
 1.38600e+00       9.36670e-05      
 1.40400e+00       9.55010e-05      
 1.42200e+00       9.73184e-05      
 1.44000e+00       9.91189e-05      
 1.45800e+00       1.00902e-04      
 1.47600e+00       1.02668e-04      
 1.49400e+00       1.04417e-04      
 1.51200e+00       1.06148e-04      
 1.53000e+00       1.07860e-04      
 1.54800e+00       1.09555e-04      
 1.56600e+00       1.11231e-04      
 1.58400e+00       1.12889e-04      
 1.60200e+00       1.14529e-04      
 1.62000e+00       1.16149e-04      
 1.63800e+00       1.17751e-04      
 1.65600e+00       1.19334e-04      
 1.67400e+00       1.20897e-04      
 1.69200e+00       1.22442e-04      
 1.71000e+00       1.23967e-04      
 1.72800e+00       1.25472e-04      
 1.74600e+00       1.26959e-04      
 1.76400e+00       1.28426e-04      
 1.78200e+00       1.29873e-04      
 1.80000e+00       1.31301e-04      
