
vdd_value         i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       0.00000e+00      
 1.80000e-02       5.43357e-07      
 3.60000e-02       1.05852e-06      
 5.40000e-02       1.54571e-06      
 7.20000e-02       2.00514e-06      
 9.00000e-02       2.43704e-06      
 1.08000e-01       2.84163e-06      
 1.26000e-01       3.21914e-06      
 1.44000e-01       3.56983e-06      
 1.62000e-01       3.89394e-06      
 1.80000e-01       4.19176e-06      
 1.98000e-01       4.46360e-06      
 2.16000e-01       4.70982e-06      
 2.34000e-01       4.93085e-06      
 2.52000e-01       5.12721e-06      
 2.70000e-01       5.29960e-06      
 2.88000e-01       5.44891e-06      
 3.06000e-01       5.57634e-06      
 3.24000e-01       5.68348e-06      
 3.42000e-01       5.77233e-06      
 3.60000e-01       5.84531e-06      
 3.78000e-01       5.90509e-06      
 3.96000e-01       5.95436e-06      
 4.14000e-01       5.99557e-06      
 4.32000e-01       6.03074e-06      
 4.50000e-01       6.06147e-06      
 4.68000e-01       6.08890e-06      
 4.86000e-01       6.11387e-06      
 5.04000e-01       6.13696e-06      
 5.22000e-01       6.15856e-06      
 5.40000e-01       6.17899e-06      
 5.58000e-01       6.19844e-06      
 5.76000e-01       6.21706e-06      
 5.94000e-01       6.23497e-06      
 6.12000e-01       6.25226e-06      
 6.30000e-01       6.26899e-06      
 6.48000e-01       6.28522e-06      
 6.66000e-01       6.30099e-06      
 6.84000e-01       6.31635e-06      
 7.02000e-01       6.33131e-06      
 7.20000e-01       6.34590e-06      
 7.38000e-01       6.36016e-06      
 7.56000e-01       6.37409e-06      
 7.74000e-01       6.38772e-06      
 7.92000e-01       6.40106e-06      
 8.10000e-01       6.41413e-06      
 8.28000e-01       6.42693e-06      
 8.46000e-01       6.43949e-06      
 8.64000e-01       6.45181e-06      
 8.82000e-01       6.46390e-06      
 9.00000e-01       6.47578e-06      
 9.18000e-01       6.48745e-06      
 9.36000e-01       6.49891e-06      
 9.54000e-01       6.51018e-06      
 9.72000e-01       6.52127e-06      
 9.90000e-01       6.53218e-06      
 1.00800e+00       6.54292e-06      
 1.02600e+00       6.55349e-06      
 1.04400e+00       6.56390e-06      
 1.06200e+00       6.57416e-06      
 1.08000e+00       6.58427e-06      
 1.09800e+00       6.59423e-06      
 1.11600e+00       6.60406e-06      
 1.13400e+00       6.61375e-06      
 1.15200e+00       6.62330e-06      
 1.17000e+00       6.63274e-06      
 1.18800e+00       6.64205e-06      
 1.20600e+00       6.65124e-06      
 1.22400e+00       6.66032e-06      
 1.24200e+00       6.66929e-06      
 1.26000e+00       6.67814e-06      
 1.27800e+00       6.68690e-06      
 1.29600e+00       6.69555e-06      
 1.31400e+00       6.70410e-06      
 1.33200e+00       6.71256e-06      
 1.35000e+00       6.72093e-06      
 1.36800e+00       6.72920e-06      
 1.38600e+00       6.73738e-06      
 1.40400e+00       6.74548e-06      
 1.42200e+00       6.75350e-06      
 1.44000e+00       6.76144e-06      
 1.45800e+00       6.76929e-06      
 1.47600e+00       6.77707e-06      
 1.49400e+00       6.78478e-06      
 1.51200e+00       6.79241e-06      
 1.53000e+00       6.79998e-06      
 1.54800e+00       6.80747e-06      
 1.56600e+00       6.81489e-06      
 1.58400e+00       6.82225e-06      
 1.60200e+00       6.82955e-06      
 1.62000e+00       6.83679e-06      
 1.63800e+00       6.84396e-06      
 1.65600e+00       6.85107e-06      
 1.67400e+00       6.85813e-06      
 1.69200e+00       6.86513e-06      
 1.71000e+00       6.87208e-06      
 1.72800e+00       6.87897e-06      
 1.74600e+00       6.88581e-06      
 1.76400e+00       6.89260e-06      
 1.78200e+00       6.89934e-06      
 1.80000e+00       6.90603e-06      
