
vgs_val           i("/M0/S" ?resultsDir "/tmp_net/analog1/cadence/IC613/simulation/transfer_pmos/spectre/schematic" ?result "dc") (A)

 0.00000e+00       2.55726e-13      
 1.80000e-02       4.33445e-13      
 3.60000e-02       7.34490e-13      
 5.40000e-02       1.24423e-12      
 7.20000e-02       2.10684e-12      
 9.00000e-02       3.56559e-12      
 1.08000e-01       6.03017e-12      
 1.26000e-01       1.01891e-11      
 1.44000e-01       1.71966e-11      
 1.62000e-01       2.89805e-11      
 1.80000e-01       4.87467e-11      
 1.98000e-01       8.17974e-11      
 2.16000e-01       1.36841e-10      
 2.34000e-01       2.28060e-10      
 2.52000e-01       3.78312e-10      
 2.70000e-01       6.23997e-10      
 2.88000e-01       1.02228e-09      
 3.06000e-01       1.66160e-09      
 3.24000e-01       2.67666e-09      
 3.42000e-01       4.26962e-09      
 3.60000e-01       6.73987e-09      
 3.78000e-01       1.05256e-08      
 3.96000e-01       1.62602e-08      
 4.14000e-01       2.48442e-08      
 4.32000e-01       3.75253e-08      
 4.50000e-01       5.59674e-08      
 4.68000e-01       8.22793e-08      
 4.86000e-01       1.18970e-07      
 5.04000e-01       1.68814e-07      
 5.22000e-01       2.34645e-07      
 5.40000e-01       3.19114e-07      
 5.58000e-01       4.24480e-07      
 5.76000e-01       5.52460e-07      
 5.94000e-01       7.04192e-07      
 6.12000e-01       8.80265e-07      
 6.30000e-01       1.08081e-06      
 6.48000e-01       1.30563e-06      
 6.66000e-01       1.55428e-06      
 6.84000e-01       1.82622e-06      
 7.02000e-01       2.12083e-06      
 7.20000e-01       2.43751e-06      
 7.38000e-01       2.77567e-06      
 7.56000e-01       3.13478e-06      
 7.74000e-01       3.51433e-06      
 7.92000e-01       3.91389e-06      
 8.10000e-01       4.33306e-06      
 8.28000e-01       4.77148e-06      
 8.46000e-01       5.22880e-06      
 8.64000e-01       5.70471e-06      
 8.82000e-01       6.19891e-06      
 9.00000e-01       6.71112e-06      
 9.18000e-01       7.24104e-06      
 9.36000e-01       7.78837e-06      
 9.54000e-01       8.35282e-06      
 9.72000e-01       8.93404e-06      
 9.90000e-01       9.53168e-06      
 1.00800e+00       1.01453e-05      
 1.02600e+00       1.07745e-05      
 1.04400e+00       1.14188e-05      
 1.06200e+00       1.20774e-05      
 1.08000e+00       1.27496e-05      
 1.09800e+00       1.34345e-05      
 1.11600e+00       1.41312e-05      
 1.13400e+00       1.48383e-05      
 1.15200e+00       1.55545e-05      
 1.17000e+00       1.62782e-05      
 1.18800e+00       1.70080e-05      
 1.20600e+00       1.77422e-05      
 1.22400e+00       1.84793e-05      
 1.24200e+00       1.92178e-05      
 1.26000e+00       1.99566e-05      
 1.27800e+00       2.06946e-05      
 1.29600e+00       2.14309e-05      
 1.31400e+00       2.21647e-05      
 1.33200e+00       2.28956e-05      
 1.35000e+00       2.36230e-05      
 1.36800e+00       2.43467e-05      
 1.38600e+00       2.50663e-05      
 1.40400e+00       2.57817e-05      
 1.42200e+00       2.64927e-05      
 1.44000e+00       2.71993e-05      
 1.45800e+00       2.79013e-05      
 1.47600e+00       2.85987e-05      
 1.49400e+00       2.92914e-05      
 1.51200e+00       2.99795e-05      
 1.53000e+00       3.06629e-05      
 1.54800e+00       3.13417e-05      
 1.56600e+00       3.20159e-05      
 1.58400e+00       3.26854e-05      
 1.60200e+00       3.33504e-05      
 1.62000e+00       3.40108e-05      
 1.63800e+00       3.46667e-05      
 1.65600e+00       3.53180e-05      
 1.67400e+00       3.59649e-05      
 1.69200e+00       3.66074e-05      
 1.71000e+00       3.72456e-05      
 1.72800e+00       3.78793e-05      
 1.74600e+00       3.85088e-05      
 1.76400e+00       3.91340e-05      
 1.78200e+00       3.97551e-05      
 1.80000e+00       4.03719e-05      
